gene_callers_id	MIT1002_ac_a	MIT1002_ac_b	MIT1002_ac_c	MIT1002_glc_a	MIT1002_glc_ac_5_a	MIT1002_glc_ac_5_c	MIT1002_glc_ac_8_a	MIT1002_glc_ac_8_b	MIT1002_glc_ac_8_c	MIT1002_glc_b	MIT1002_glc_c
0	835.7558066541118	219.46578782172003	244.88888888888889	76.77024482109228	832.7325800376648	1517.9384808537352	179.7426239799121	135.9365976145637	205.77212806026364	53.82674199623352	103.2768361581921
1	710.9591280653951	191.23342415985468	187.6348773841962	223.49409627611263	473.92461398728426	754.0953678474115	327.6730245231608	321.7148047229791	589.9409627611262	116.71843778383288	230.32243415077204
2	319.6216712580349	103.58677685950413	115.56290174471992	41.84297520661157	219.69605142332415	333.9044995408632	134.31588613406797	107.5068870523416	182.5224977043159	26.67033976124885	51.23048668503214
3	1183.137959520859	337.47624948368446	368.0731102850062	332.9182156133829	854.089219330855	1647.3981825691862	453.1028500619579	383.0491532424618	641.2300702189178	163.87195373812474	353.3981825691863
4	254.42567567567568	65.77702702702703	71.72522522522523	43.637387387387385	170.60135135135135	310.19594594594594	93.53828828828829	80.19369369369369	141.1036036036036	24.736486486486488	50.619369369369366
5	926.7291967291967	271.7085137085137	284.28860028860026	137.27176527176528	706.0860990860991	1408.5262145262145	265.45117845117846	221.62385762385762	398.8951418951419	86.7965367965368	191.97546897546897
6	1141.2825607064017	328.89845474613685	316.2461368653422	90.27814569536424	824.8995584988962	1471.5364238410596	291.13134657836645	257.6512141280353	426.3355408388521	79.45916114790288	151.9514348785872
7	124.52545155993433	28.57471264367816	32.66338259441708	39.632183908045974	84.84072249589491	140.41707717569787	58.19047619047619	56.07881773399015	102.54844006568145	20.980295566502463	42.44991789819376
8	691.6709956709957	191.32683982683983	209.4848484848485	61.777056277056275	557.1666666666666	873.6774891774892	173.6103896103896	152.99134199134198	242.46969696969697	44.94155844155844	86.55844155844156
9	1066.873015873016	337.51785714285717	330.3511904761905	138.42460317460316	832.4940476190476	1351.1626984126983	304.12896825396825	276.97222222222223	461.00992063492066	99.42857142857143	183.99603174603175
10	185.70216049382717	52.3287037037037	55.623456790123456	16.155864197530864	127.34567901234568	173.96141975308643	48.27932098765432	39.44753086419753	54.373456790123456	10.646604938271604	20.32253086419753
11	1796.4951923076924	532.3637820512821	537.0448717948718	443.625	1164.2035256410256	2069.956730769231	883.599358974359	841.6442307692307	1392.2564102564102	318.65705128205127	576.9919871794872
12	442.6556603773585	107.94182389937107	117.25471698113208	86.21698113207547	337.6179245283019	469.748427672956	147.85220125786162	137.42295597484278	223.21069182389937	47.04716981132076	101.5251572327044
13	210.53562477622629	62.061582527747944	63.718940207662015	48.467597565341926	139.37235947010385	266.03795202291445	78.10526315789474	70.01611170784103	129.09631220909415	23.145363408521302	49.812746151092014
14	234.69418960244647	79.40672782874617	74.80122324159021	136.4525993883792	125.94189602446484	225.78134556574923	131.65749235474007	125.77064220183486	226.04434250764527	66.18042813455658	145.88990825688074
15	303.8333333333333	75.41804407713498	94.70798898071625	40.64325068870524	206.61432506887053	338.42561983471074	90.67768595041322	85.91322314049587	133.0785123966942	24.31129476584022	52.37809917355372
16	332.01014492753626	91.60144927536231	100.23985507246377	64.93695652173913	204.23840579710145	359.49202898550726	135.18840579710144	129.82536231884058	205.40869565217392	41.3768115942029	82.53695652173913
17	509.3128787878788	141.02651515151516	169.2962121212121	60.343939393939394	311.9348484848485	542.5242424242424	156.21818181818182	135.3128787878788	220.09848484848484	38.80833333333333	81.99242424242425
18	617.9978969505784	172.17560462670872	201.69085173501577	119.53207150368034	422.67402733964246	774.4237644584648	235.45005257623555	199.42271293375396	331.31019978969505	77.61093585699264	157.1093585699264
