gene_callers_id	DSS3_ac_a	DSS3_ac_b	DSS3_glc_a	DSS3_glc_ac_19_a	DSS3_glc_ac_19_b	DSS3_glc_ac_19_c	DSS3_glc_ac_34_a	DSS3_glc_ac_34_b	DSS3_glc_ac_34_c	DSS3_glc_b	DSS3_glc_c
3898	86.36260978670012	83.38770388958595	52.519447929736515	92.15683814303638	68.82183186951066	64.00376411543287	55.59598494353827	51.51191969887076	71.84190715181933	48.16436637390213	47.38770388958595
3899	173.66408839779007	157.4353591160221	176.96243093922652	164.33812154696133	110.42209944751382	102.62209944751382	173.88397790055248	133.446408839779	200.36022099447513	175.95911602209944	175.40441988950278
3900	520.4668587896253	554.2146974063401	254.1765129682997	412.65778097982707	315.7255043227666	289.4128242074928	285.6376080691643	254.3206051873199	349.7536023054755	281.22694524495677	263.2449567723343
3901	1850.8260105448155	939.8347978910369	371.3444639718805	845.8998242530756	643.0017574692442	707.128295254833	504.25131810193324	878.8734622144112	598.3585237258347	274.9420035149385	320.75395430579965
3902	1072.8542435424354	1158.8837638376383	727.3726937269373	1073.6125461254612	836.1845018450184	794.9206642066421	833.0590405904059	783.3892988929889	1076.8579335793358	960.4833948339483	760.1826568265683
3903	1220.4266211604095	1475.9726962457337	690.3447098976109	1295.3617747440273	1044.2116040955632	1080.5051194539249	742.4300341296928	852.1911262798635	947.0102389078498	868.0989761092151	795.7337883959044
3904	900.7683168316831	760.5366336633664	694.0435643564357	672.1831683168317	536.4534653465347	492.35049504950496	395.05346534653467	405.180198019802	536.460396039604	807.7108910891089	715.9881188118812
3905	1075.5862068965516	1248.811671087533	710.2705570291777	1099.6366047745357	925.0477453580902	865.7745358090185	661.8779840848806	735.2281167108754	1008.5941644562334	783.0901856763926	741.8514588859416
3906	510.0623742454728	576.4386317907445	272.3682092555332	562.1146881287726	382.0221327967807	360.94969818913484	273.81287726358147	234.4688128772636	331.9215291750503	302.35613682092554	278.00804828973844
3907	3122.10710259301	3129.400225479143	1749.140924464487	2358.7655016910935	1839.80496054115	1684.1803833145434	1871.228861330327	1824.9154453213077	2429.771138669673	1485.6865839909808	1411.846674182638
3908	787.0019775873434	846.4950560316414	331.5194462755438	653.6565589980224	478.21687541199736	510.0889914304548	209.12590639419906	208.23467369808833	282.2280817402769	366.3375082399473	341.8734344100198
3909	582.8450465707028	665.8950042337002	431.4191363251482	788.4394580863675	556.4530059271804	548.0897544453852	346.6782387806943	290.9017781541067	415.00677392040643	470.08552074513125	421.9949195596952
3910	80.443359375	76.978515625	48.052734375	136.32421875	113.64453125	114.3828125	32.302734375	32.423828125	47.224609375	55.91015625	45.7265625
3911	149.94586466165413	138.6887218045113	211.84812030075187	102.29774436090226	78.33383458646617	78.67669172932331	100.17443609022557	105.7578947368421	143.36390977443608	229.1203007518797	199.6390977443609
3912	382.05049088359044	451.7615708274895	325.5329593267882	433.12061711079946	293.2019635343618	288.218793828892	257.26227208976155	247.4249649368864	343.02244039270687	335.04908835904627	320.96633941093967
3913	426.1441307578009	485.05349182763746	297.43536404160477	497.65750371471023	372.82763744427933	365.23922734026746	266.2243684992571	264.1924219910847	374.7466567607727	393.14933135215455	338.9933135215453
3914	455.26904376012965	527.8606158833063	232.53484602917342	417.6742301458671	325.969205834684	320.4262560777958	220.90761750405187	219.72285251215558	298.1329011345219	293.9935170178282	256.1458670988655
3915	189.86847599164926	259.9582463465553	123.70146137787056	224.35073068893527	187.46137787056367	182.86638830897704	144.02087682672234	143.64926931106473	208.08977035490605	154.5302713987474	135.10229645093946
3916	34.64279475982533	42.237554585152836	28.560698689956332	42.79563318777293	31.28471615720524	31.65938864628821	23.222707423580786	27.278602620087337	30.72576419213974	35.86812227074236	31.502183406113538
3917	50.34044368600683	63.841296928327644	54.503412969283275	74.25085324232082	51.35409556313993	62.24061433447099	31.685153583617748	39.23037542662116	45.70221843003413	59.12372013651877	54.0759385665529
3918	65.01605024424285	71.91625959525472	53.07327285415213	63.958827634333566	45.3831123517097	45.68248429867411	33.7990230286113	33.19748778785764	49.7794836008374	61.89043963712491	48.25889741800419
3919	65.57824933687003	56.87798408488064	40.610079575596814	38.59416445623342	30.724137931034484	29.625994694960212	23.607427055702917	23.56763925729443	30.816976127320956	53.312997347480106	36.83819628647215
3920	46.36280487804878	42.36280487804878	26.239329268292682	33.55640243902439	21.196646341463413	21.009146341463413	21.07469512195122	18.753048780487806	28.367378048780488	30.74390243902439	24.208841463414632
3921	314.28875	341.7275	179.90375	245.19125	184.0525	187.48375	140.98625	152.7325	208.09125	223.5975	187.5325
3922	328.35135135135135	365.7779083431257	242.1081081081081	282.10223266745004	205.80493537015275	195.5487661574618	210.7015276145711	217.40305522914218	298.74500587544065	266.903642773208	249.5123384253819
3923	70.19858989424206	63.334900117508816	59.44183313748531	53.126909518213864	44.84371327849589	42.110458284371326	52.513513513513516	50.4054054054054	72.15041128084606	69.79200940070506	60.91186839012926
3924	33.045755968169765	33.65716180371353	49.2420424403183	36.88527851458886	26.939655172413794	26.857427055702917	19.320954907161802	17.717506631299734	27.159151193633953	53.08090185676392	48.147214854111404
3925	1002.4378257632167	1397.3767684288905	759.1958302308265	1570.5927029039465	1152.211466865227	1174.3246463142218	711.4445271779598	728.2174236783321	996.7267311988087	1028.0759493670887	893.2583767684289
3926	1007.7450331125827	1160.6076158940398	515.0289735099337	1095.4006622516556	760.4246688741722	801.5149006622516	516.4279801324503	461.307119205298	689.7044701986755	621.8203642384105	569.191225165563
3927	847.6550435865504	939.906600249066	448.2179327521793	861.3636363636364	559.7758405977584	568.1444582814446	351.585305105853	301.6077210460772	479.3437110834371	513.7970112079701	465.7895392278954
3928	1061.4180704441042	1303.4946401225116	467.64624808575803	974.9923430321593	688.2894333843798	655.5252679938744	468.88514548238896	385.34456355283305	612.4211332312404	541.7580398162328	494.04747320061256
3929	1080.0592105263158	1033.9769736842106	304.4046052631579	764.8174342105264	509.1019736842105	483.54276315789474	384.6200657894737	270.67763157894734	419.5	318.67598684210526	313.1233552631579
3930	1203.494262295082	1313.183606557377	432.9	989.1967213114754	745.3303278688525	739.75	445.2139344262295	422.8786885245902	618.9581967213114	526.1122950819672	486.3516393442623
3931	475.0381679389313	591.2576335877862	295.1965648854962	367.0057251908397	301.2748091603053	279.9751908396947	252.56106870229007	258.6965648854962	398.1965648854962	370.3587786259542	313.543893129771
3932	193.93573264781492	133.8611825192802	98.94601542416453	120.03598971722366	113.3598971722365	114.94087403598972	106.47814910025707	113.573264781491	143.84318766066838	125.29820051413881	124.81233933161954
3933	651.105069124424	766.3658986175116	453.5953917050691	729.1133640552995	549.1778801843318	540.0543778801843	395.8258064516129	390.0838709677419	582.010138248848	649.8405529953917	560.0857142857143
3934	804.25	959.2627118644068	317.6271186440678	594.2118644067797	417.6864406779661	430.9237288135593	392.35169491525426	322.78389830508473	469.8601694915254	390.885593220339	351.79237288135596
3935	611.7251063829788	760.851914893617	344.2442553191489	597.4382978723404	418.3923404255319	408.0204255319149	327.52851063829786	278.0289361702128	396.4987234042553	401.07659574468084	364.13957446808513
3936	1036.2767066180302	829.8608650338718	449.44762897342366	637.6889004689942	505.0760812923398	476.3480979676915	299.13183949973944	366.83845752996353	585.5237102657634	460.1724856696196	396.5898905680042
3937	759.358361774744	517.4607508532423	237.66211604095562	427.57679180887374	409.72354948805463	366.1467576791809	186.9556313993174	315.9453924914676	395.13651877133105	202.5358361774744	190.80887372013652
3938	134.41315789473686	157.82631578947368	52.25526315789474	138.4842105263158	109.2078947368421	105.13157894736842	73.26315789473684	74.58421052631579	90.6078947368421	67.88684210526316	63.078947368421055
3939	183.213866039953	149.97297297297297	92.41950646298473	118.26674500587544	84.20681551116334	85.84253819036428	58.00117508813161	65.03760282021152	86.1198589894242	90.06227967097533	81.70270270270271
3940	137.18064516129033	121.48064516129033	92.88064516129032	78.59032258064516	64.25967741935484	59.65806451612903	51.520967741935486	54.291935483870965	83.98709677419355	98.59838709677419	80.55645161290323
3941	119.9478021978022	105.1717032967033	56.300824175824175	50.559065934065934	36.994505494505496	32.04120879120879	36.792582417582416	36.10302197802198	50.339285714285715	57.82142857142857	52.760989010989015
3942	187.89124668435014	200.23342175066313	194.3129973474801	127.55702917771883	94.3129973474801	94.48541114058355	100.07161803713528	111.90716180371352	159.29177718832892	221.368700265252	172.3766578249337
3943	45.38408896492729	42.78699743370402	43.124037639007696	36.619332763045335	29.25662959794696	25.313943541488452	33.808383233532936	33.638152266894785	42.9863130881095	36.229255774165956	36.642429426860566
3944	50.51145038167939	61.31406761177754	43.2453653217012	65.33042529989095	48.0	49.31188658669575	31.695747001090513	33.099236641221374	44.59432933478735	54.73827699018539	49.12431842966194
3945	10.344221105527637	15.552763819095478	5.163316582914573	11.135678391959798	9.042713567839195	8.884422110552764	8.864321608040202	8.120603015075377	12.414572864321608	6.447236180904523	5.949748743718593
3946	4.24781206817135	5.597881160755413	3.896361123906034	3.519115614923998	2.6140027637033625	3.1377245508982035	2.950253339474896	3.213726393367112	4.414555504375864	3.306771073238139	4.032703823122985
3947	33.41950707918196	41.538017829050865	22.997378080755112	24.266911379129525	19.583639223911902	20.362873623492398	23.36811746198217	24.285264813843735	31.140010487676978	22.79653906659675	23.57420031463031
