Accession	DSS3_ac_a	DSS3_ac_b	DSS3_ac_c	DSS3_glc_ac_19_a	DSS3_glc_ac_19_b	DSS3_glc_ac_19_c	DSS3_glc_ac_34_a	DSS3_glc_ac_34_b	DSS3_glc_ac_34_c	DSS3_glc_a	DSS3_glc_b	DSS3_glc_c
SPO1662	0.002529286	0.001840077	0.001840077	0.002240475	0.002529286	0.001840077	0.001479063	0.001157433	0.001058974	0.003604611	0.002440795	0.001562109
SPO1664	0.000848731	0.001421404	0.002643107	0.001421404	0.001835491	0.002140917	0.001421404	0.003597562	0.004020459	0.000315932	0.000315932	0.001372947
SPO1665	0.000273459	0.00018306	0.00014464	0.00018306	0.000325439	0.00011074	8.13598E-05	0.00011074	8.13598E-05	6.88866E-05	3.92271E-05	7.8983E-05
SPO1666				2.11223E-06	8.44891E-06							
SPO1667	3.47582E-05		1.25129E-05	2.22452E-05	3.47582E-05	1.25129E-05	1.25129E-05	5.56131E-06	5.56131E-06	8.44891E-06	3.40576E-05	7.58534E-05
SPO1668	0.000308311	0.000203533	0.000348054	0.0005829	0.000481736	0.0005829	0.000348054	0.000348054	0.000203533	0.002202818	0.002690977	0.001095324
SPO1670	0.004692095	0.004923769	0.004807234	0.004807234	0.005041699	0.004245495	0.004923769	0.004807234	0.003419284	0.051647223	0.05053056	0.021224886
SPO1671	2.60137E-05	4.62466E-05	4.62466E-05		2.89042E-06		2.89042E-06	2.89042E-06		2.4408E-05	2.4408E-05	3.99403E-05
SPO1672	0.000125926	3.14816E-05	3.14816E-05	5.59673E-05	5.59673E-05	5.59673E-05	1.39918E-05	1.39918E-05	1.39918E-05	3.08527E-05	0.00015255	0.000249627
SPO1673	0.002022072	0.004452347	0.002577564	0.002726957	0.002432379	0.002577564	0.002432379	0.002880559	0.002022072	0.000484728	0.004832774	0.001858759
SPO1674	0.000917378	0.000832089	0.001630895	0.000832089	0.000750961	0.001630895	0.001198208	0.002548273	0.000832089	0.000149327	0.000263176	0.000315932
SPO1675	0.000110931	0.000197211	0.000268427	8.76495E-05	0.000308143	0.000136952	0.000268427	0.000231449	0.000165712	9.76318E-05	1.1107E-05	0.000113623
SPO1676		2.90742E-05	1.29219E-05		3.23046E-06		2.90742E-05	1.29219E-05	2.90742E-05		2.4408E-05	
SPO1677	0.000177202	0.000118623	0.000146448	0.000287037	0.000247497	1.31803E-05	7.17594E-05	7.17594E-05	9.37265E-05	0.000878686	0.001031236	0.000610199
SPO1679	0.000452265	0.000590713	0.000389963	0.000332276	0.000332276	0.000147678	0.000113066	8.30691E-05	5.76869E-05	0.00015255	0.000219672	0.000253467
SPO1680	0.00058262	0.00058262	0.000464461	0.001130313	0.000910344	0.000502361	0.000541748	0.000359679	0.000327724	0.001343946	0.001343946	0.002051049
SPO1681	3.1562E-06	2.84058E-05	5.04992E-05	2.84058E-05	1.97263E-05	1.97263E-05	2.84058E-05	2.84058E-05	5.04992E-05	5.49179E-05	9.76318E-05	6.6973E-06
SPO1683	5.85791E-05	3.29507E-05	9.15298E-05	5.85791E-05	9.15298E-05	5.85791E-05	9.15298E-05	9.15298E-05	3.29507E-05	0.000159761	7.10911E-06	2.23648E-05
SPO1684	4.15345E-05			1.84598E-05	4.61495E-06		1.84598E-05			2.50767E-06		
SPO1685		1.77154E-05	3.14941E-05	1.77154E-05		1.77154E-05	7.87353E-06		1.77154E-05		7.10911E-06	
SPO1686	0.000206707	0.000147997	0.000206707	0.000275201	0.000275201	0.000176129	0.000239731	0.000176129	0.000206707	0.000494261	0.000245765	0.000108762
SPO1687	0.000134665	0.0002546	0.000355599	0.000103103	0.000170435	0.000134665	0.000302995	0.000302995	0.000210413	0.000298997	0.000303414	0.000494261
SPO1688		1.49436E-05								5.37094E-06		2.4408E-05
SPO1690	1.17597E-06					1.17597E-06			1.17597E-06			
SPO1691	0.004682473	0.004682473	0.003934578	0.004682473	0.003472111	0.00578083	0.00417665	0.003038549	0.003699731	0.002074539	0.001782055	0.007474935
SPO1692	0.000878686	0.011151764	0.000219672	0.00058007	0.00058007	0.000343237	0.012771841	0.000672744	0.000672744	0.000493644	0.002690977	0.001536165
SPO1693	0.000298894	0.000103424	0.00020271	0.00014893	0.00014893	0.00014893	0.00014893	5.06775E-05	0.000232703	9.76318E-05	5.49179E-05	4.7343E-05
SPO1694	6.17826E-05	4.29046E-05	1.54457E-05	2.74589E-05	1.54457E-05	2.74589E-05			1.54457E-05	5.49179E-05	2.4408E-05	5.49179E-05
SPO1695		3.14265E-06	7.07097E-06	3.14265E-06	7.85664E-07	3.14265E-06	7.85664E-07	1.96416E-05				
SPO1696				1.00033E-06		4.0013E-06		1.00033E-06	4.0013E-06			
SPO1697	1.5255E-06											
SPO1698							2.27875E-06		2.27875E-06		1.23411E-06	
SPO1700	6.13989E-05	4.26381E-05	1.53497E-05	2.72884E-05	0.000109154		6.13989E-05	2.72884E-05	6.13989E-05	9.76318E-05	5.76566E-06	
SPO1701	7.39635E-06	2.95854E-05	1.66418E-05	1.66418E-05	2.95854E-05	2.95854E-05	2.95854E-05	6.65671E-05	4.62272E-05		1.34274E-06	
SPO1721	0.000583099	0.000854458	0.000930374	0.000854458	0.000854458	0.000646093	0.001552238	0.001653998	0.001177504	0.001562109	0.001977044	0.000351513
SPO1722											1.13702E-06	
SPO1723											6.10199E-06	
SPO1725	8.89359E-06	3.55743E-05	8.89359E-06	8.89359E-06	2.00106E-05		3.55743E-05	2.2234E-06	3.55743E-05	0.000298997	0.000108762	0.000245786
SPO1727	0.00065865	0.000357605	0.000308343	0.000527285	0.000410516	0.000116769	0.000591143	0.000357605	0.000182451	0.000302116	0.000512769	0.000559119
SPO1728	8.54278E-05	2.78948E-05	6.27633E-05	4.35856E-05	8.54278E-05	0.000111579	4.35856E-05	0.000111579		9.76318E-05	2.10212E-05	1.21365E-05
SPO1729	0.001189888	0.000776243	0.000776243	0.001283178	0.000851931	0.001013869	0.001013869	0.001100118	0.000570301	0.001031236	0.000738341	0.000512769
SPO1732	1.59471E-05	2.49174E-05	3.5881E-05	8.97025E-06	3.5881E-05	1.59471E-05	3.5881E-05	2.49174E-05	1.59471E-05	1.20846E-05	8.98656E-05	4.85462E-05
SPO1733	0.002501622	0.005051753	0.002245223	0.002912207	0.003665812	0.002122221	0.004159554	0.001774004	0.004331064	0.004381295	0.003220524	0.007908176
SPO1734	0.001571832	0.002156939	0.002263438	0.002053005	0.002156939	0.002484136	0.002956327	0.002715099	0.002053005	0.005491789	0.003690636	0.00439702
SPO1735	1.97902E-05	1.97902E-05	0.000316644	1.97902E-05	7.91609E-05	0.000178112	7.91609E-05	0.000178112	0.00024243	1.23411E-06	6.10199E-06	6.10199E-06
SPO1736		2.83082E-06					1.13233E-05					1.34274E-06
SPO1737	0.000115998	6.5249E-05	0.000115998	2.89995E-05	8.88111E-05	0.000181247	6.5249E-05	0.000260996	0.000115998	0.00015255	3.23046E-05	9.76318E-05
SPO1739	1.12652E-05	4.50608E-05	7.04075E-05	2.53467E-05	1.12652E-05	2.53467E-05	7.04075E-05	4.50608E-05	7.04075E-05	6.33668E-05	5.49179E-05	6.47999E-06
SPO1740					1.15011E-05							
SPO1742						9.84192E-07				8.32089E-06		
SPO1743	0.01396022	0.020716504	0.024593061	0.020408457	0.02197177	0.029535671	0.016613815	0.030653642	0.022613248	0.013606061	0.080698786	0.016606182
SPO1744	4.74111E-05	4.74111E-05	3.29244E-05	2.10716E-05	4.74111E-05	2.10716E-05	4.74111E-05	1.18528E-05	3.29244E-05	6.10199E-06	1.23411E-06	3.84041E-06
SPO1745											9.73721E-07	
