Accession	DSS3_ac_a	DSS3_ac_b	DSS3_ac_c	DSS3_glc_ac_19_a	DSS3_glc_ac_19_b	DSS3_glc_ac_19_c	DSS3_glc_ac_34_a	DSS3_glc_ac_34_b	DSS3_glc_ac_34_c	DSS3_glc_a	DSS3_glc_b	DSS3_glc_c
SPO0001	2.20731E-05	0.000106834	0.000106834	8.82924E-05	7.15169E-05	5.65072E-05	7.15169E-05	8.82924E-05	8.82924E-05	0.00015255	8.98656E-05	4.77124E-05
SPO0002	2.69205E-06		2.69205E-06			1.07682E-05	1.07682E-05	2.69205E-06	4.30729E-05		2.4408E-05	3.99403E-05
SPO0003	0.000526554	0.000205685	0.000248879	0.000403143	0.000248879	0.000131638	0.000296186	0.000205685	0.000462791	0.000489268	4.4428E-05	5.18909E-05
SPO0004	0.001352539	0.003118817	0.002404513	0.002020459	0.001899862	0.001560336	0.002539952	0.002968535	0.002020459	0.002202818	0.003227951	0.001075942
SPO0006	5.70575E-06	5.70575E-06	1.28379E-05	1.28379E-05	2.2823E-05	1.28379E-05	1.42644E-06		1.42644E-06		6.10199E-06	1.86796E-06
SPO0007	2.42285E-05	4.30729E-05	2.42285E-05	9.69139E-05	4.30729E-05		4.30729E-05	2.42285E-05	6.73013E-05	8.76349E-06	1.70435E-05	7.72283E-06
SPO0008	0.000750776	0.000750776	0.000521372	0.001225804	0.00112153	0.000926884	0.000593206	0.000454173	0.000836513	0.001763474	0.000315932	0.000516874
SPO0009	0.00012566	9.92866E-05	0.00012566	0.000262179	0.000155135	0.000223395	0.000223395	0.000155135	0.000155135	0.001208194	0.000494261	7.06293E-05
SPO0010	0.001691588	0.002140917	0.00155356	0.004020459	0.002822251	0.001421404	0.00230244	0.003597562	0.00230244	0.0022569	0.007828295	0.000857682
SPO0011	0.000105828	0.000303082	0.000563582	0.000202889	0.000250481	0.000641231	0.000563582	0.000276155	0.000331261	0.000184288	0.000134274	0.000158973
SPO0012	0.001684831	0.001112252	0.001055944	0.001684831	0.001480809	0.001352106	0.000947717	0.001615361	0.002212072	0.002661122	0.00118598	0.006645065
SPO0013	6.81739E-05	7.57488E-06	4.7343E-05	0.000153391	6.81739E-05	3.02995E-05	3.02995E-05	3.02995E-05	0.000121198	2.94861E-05	2.4408E-05	8.98656E-05
SPO0015				8.54753E-06	3.41901E-05		2.13688E-06		3.41901E-05	1.84426E-05		
SPO0018	0.00620881	0.003771744	0.003093663	0.005673058	0.004833848	0.003093663	0.00602754	0.005673058	0.006960742	0.003598664	0.015254969	0.011813448
SPO0020	1.21142E-05	5.38411E-06	1.21142E-05	2.15364E-05	2.15364E-05	1.34603E-06	3.36507E-05	2.15364E-05	1.21142E-05	2.4408E-05	6.10199E-06	
SPO0023	1.46448E-05		1.46448E-05	3.29507E-05			3.66119E-06		1.46448E-05		3.73591E-06	
SPO0024	0.00016846	0.000242582	0.000203836	0.000330181	0.000242582	0.00016846	0.000136452	0.000242582	0.000242582	0.000172152	0.001372947	0.001031236
SPO0025	2.77363E-06								6.93408E-05			
SPO0026	1.28714E-05	3.57538E-05	7.00775E-05	5.72061E-06	1.28714E-05	5.14855E-05	5.14855E-05	7.00775E-05	7.00775E-05	0.000159761	5.49179E-05	3.89489E-06
SPO0027			8.97351E-07			3.5894E-06		3.5894E-06				2.4408E-05
SPO0029	4.74111E-05	4.74111E-05	2.10716E-05	6.45318E-05	2.10716E-05	1.18528E-05	2.10716E-05	5.2679E-06	1.18528E-05	1.23411E-06		5.37094E-06
SPO0030									7.66296E-05			9.15298E-06
SPO0031									3.1929E-06	0.000390527	0.000249627	0.00015255
SPO0034	5.61791E-05	0.000138728	9.28674E-05	9.28674E-05	0.000114651	4.12744E-05	9.28674E-05	0.000165098	9.28674E-05	0.000298997	0.000159645	0.000219672
SPO0035					3.92972E-06							
SPO0036	1.61523E-06	1.61523E-06	6.46093E-06	4.03808E-05	2.58437E-05	1.45371E-05	1.61523E-06		1.61523E-06		3.43237E-06	6.10199E-06
SPO0037				2.51773E-05	6.29431E-06							
SPO0038	0.000132133	0.000167231	0.000101165	0.000206458	0.000167231	0.000101165	7.4325E-05	3.30333E-05	3.30333E-05	4.4428E-05	1.97458E-05	9.76318E-05
SPO0039	0.000671449	0.001003029	0.001003029	0.000913917	0.001295233	0.001865136	0.001193687	0.00151076	0.001193687	0.000208565	0.000515019	0.000177712
SPO0041	2.54774E-05	4.52931E-05	7.07705E-05	2.83082E-06	1.13233E-05	2.83082E-06	7.07705E-05	0.00013871	0.000101909		8.70178E-06	3.99403E-05
SPO0042	2.77363E-06		2.77363E-06		1.10945E-05				2.77363E-06			
SPO0043	0.021522295	0.038020077	0.040223689	0.02550535	0.02550535	0.063315929	0.06008724	0.056500765	0.059180275	0.156210883	0.039262934	0.215668651
SPO0044	0.000635664	0.000974396	0.000900884	0.000974396	0.000762508	0.001385199	0.001297273	0.001765733	0.001050791	0.007053898	0.006645065	0.011542742
SPO0045		1.85116E-05	8.2274E-06				8.2274E-06					
SPO0047					2.16212E-06							
SPO0048		2.77363E-06							2.77363E-06		6.10199E-06	
SPO0050	0.000128565	0.00022856	0.000158722	0.000101582	7.77739E-05	0.000101582	0.00022856	0.000268241	0.000158722	0.000149327	0.000361104	0.000610199
SPO0051								2.56626E-06				
SPO0055	0.000128283	0.000306395	0.000343502	0.000306395	0.000207797	0.000179172	0.000343502	0.000382729	0.000382729	0.000738341	0.000610199	0.000208565
SPO0057	0.004508021	0.005853845	0.004403793	0.006341462	0.00515899	0.004613468	0.006978412	0.004508021	0.007509915	0.058603489	0.065999098	0.059805581
SPO0058	0.000644688	0.001450549	0.001673404	0.000963053	0.000963053	0.00287324	0.002300184	0.003344818	0.004029302	0.003514745	0.000809521	0.003514745
SPO0059	0.000981253	0.002153643	0.001465823	0.001293532	0.001378331	0.001465823	0.00323181	0.002848192	0.002153643	0.006645065	0.001326319	0.009595653
SPO0060	1.66418E-05		4.16045E-06		3.7444E-05	0.000416045	1.66418E-05	1.66418E-05		4.40224E-06	5.49179E-05	1.16297E-05
SPO0061	0.003699558	0.005935736	0.00670919	0.004978126	0.004751877	0.005688441	0.005688441	0.007814125	0.010276551	0.006941868	0.033414484	0.038082505
SPO0062	6.6326E-05	0.000265304	0.000265304	9.55094E-05	0.000129999	0.000169794	0.000321018	0.000169794	0.000265304	0.000494261	5.2252E-05	7.60402E-05
SPO0063	0.003777254	0.005863322	0.004288874	0.006175978	0.004157924	0.00511721	0.006018635	0.006175978	0.005710039	0.00571146	0.005797783	0.004210819
SPO0064	0.000319474	0.000446208	0.000319474	0.000264028	0.000129374	0.000264028	0.000446208	0.000319474	4.22445E-05	0.00015255	0.000295712	0.000122465
SPO0066	8.51575E-05	0.000140771	0.000210287	0.000250259	0.000173791	0.000140771	0.000210287	0.000173791	8.51575E-05	4.4428E-05	0.00015255	9.76318E-05
SPO0067	0.000221443	0.000179369	0.000221443	0.000221443	0.000318878	0.000141724	0.000108507	0.000318878	0.000318878	0.000494261	0.000226957	0.000179324
SPO0068							9.40375E-05	6.0184E-05	6.0184E-05	2.14838E-05	9.76318E-05	1.03619E-05
SPO0069	4.97445E-05	0.000161172	0.000127346	4.97445E-05	4.97445E-05	9.74992E-05	7.1632E-05	0.000198978	7.1632E-05	1.80651E-06	1.1107E-05	3.08527E-05
SPO0070				2.55432E-05	5.74722E-05			6.3858E-06	0.000102173	1.1107E-05	3.99403E-05	2.4408E-05
SPO0071		2.26933E-06	9.07734E-06									
SPO0072						1.9826E-06			3.17215E-05			
SPO0073	0.000165915	0.000106186	0.000238918	0.000537565	0.000479495	0.000238918	0.000325194	0.000325194	0.000238918	0.000610199	0.000263216	7.8983E-05
SPO0075	0.000763042	0.000855452	0.000446208	0.000953142	0.001056113	0.000855452	0.001277897	0.000953142	0.001164365	0.000399852	0.000516874	0.001562109
SPO0076	0.000204346	0.000386341	0.00031929	0.000386341	0.00031929	0.000625808	0.001152637	0.000718403	0.000922748	0.000878686	0.000129219	0.000230731
SPO0077	0.000288854	8.91524E-05	5.70575E-05	0.000431498	0.000288854	5.70575E-05	0.000174739	5.70575E-05	1.42644E-05	0.000610199	0.000494261	0.000639045
SPO0078	0.001985267	0.039517386	0.001421404	0.001985267	0.002140917	0.000187954	0.027065415	0.002140917	0.005430116	0.010257441	0.001323198	0.003525805
SPO0079	0.000368299	0.000961063	0.000557896	0.001473194	0.000706087	0.000427139	0.000490338	0.000313817	0.000263693	0.002556178	0.001372947	0.00046197
SPO0080	8.42299E-05	0.000121291	5.39071E-05	5.39071E-05			5.39071E-05			6.04714E-05	8.76349E-06	9.76318E-05
SPO0081	4.34993E-05	4.34993E-05	2.44684E-05	4.34993E-05	1.08748E-05	4.34993E-05	4.34993E-05	9.78735E-05	4.34993E-05	0.00015255	5.12188E-05	0.00015255
SPO0082	0.000334283	0.000288234	0.000334283	0.000334283	0.000170552	0.000245596	0.00068221	0.000615694	0.000383743	0.001031236	0.000738341	0.000610199
SPO0083	0.000778003	0.000605712	0.000269205	0.000454957	0.000872225	0.000387656	0.000971831	0.000387656	0.000325738	0.001977044	0.001058085	0.001977044
SPO0084		4.53867E-06		4.53867E-06	4.53867E-06	1.81547E-05	1.81547E-05	1.13467E-06	4.53867E-06	0.000208022	2.14838E-05	9.76318E-05
SPO0086	8.36844E-05	2.09211E-05	1.17681E-05	1.17681E-05	1.17681E-05	5.23028E-06						
SPO0087	2.50338E-05											
SPO0091	7.29806E-06	2.91922E-05	7.29806E-06	7.29806E-06	1.64206E-05	7.29806E-06	1.64206E-05	1.64206E-05				5.37094E-06
SPO0092	1.34933E-06				5.39734E-06			1.34933E-06	5.39734E-06			
SPO0093		4.48309E-05	4.48309E-05	4.48309E-05	4.48309E-05	7.00483E-05	7.00483E-05	4.48309E-05	2.80193E-06	5.49179E-05	2.2569E-05	7.84541E-05
SPO0095	0.000240803	0.000276432	0.000314519	0.000148659	0.000314519	0.000176917	0.000207631	0.000491435	9.95156E-05	0.000494261	0.00143785	0.000235699
SPO0097	0.000891421	0.001238211	0.000601482	0.001392845	0.001314391	0.000601482	0.001023315	0.001023315	0.000601482	0.000905267	0.002202818	0.000931492
SPO0098	5.05823E-05	0.000103229	0.000103229	6.60666E-05	6.60666E-05	5.05823E-05	8.36156E-05	5.05823E-05	6.60666E-05	9.98507E-06	2.4408E-05	1.901E-05
SPO0101	0.002347601	0.003356093	0.002663795	0.00245078	0.003235163	0.001775124	0.003994028	0.004128272	0.004687436	0.001881071	0.007474935	0.00151884
SPO0102	0.000710586	0.001434951	0.000710586	0.000503906	0.000503906	0.000283447	0.000568863	0.000637756	0.000332657	0.000738341	0.000208565	0.000354076
SPO0103	0.000556887	0.000156082	0.00027748	0.000192694	0.00027748	9.44202E-05	9.44202E-05	9.44202E-05	7.70777E-06	0.000639045	0.000390527	0.001036187
SPO0104	0.000540249	0.000590479	0.000446487	0.000446487	0.000446487	0.000361654	0.000492252	0.000402954	0.000160735	0.000610199	0.000494261	0.000851479
SPO0105	0.000106166	0.000131069	0.000158593	3.27672E-05	3.27672E-05	4.71848E-05	4.71848E-05	8.38841E-05	8.38841E-05	0.000738341	0.000249627	8.8519E-05
SPO0106				3.43237E-05	0.000105116	0.000308913	5.36308E-05	1.93071E-05	0.000173764	1.1107E-05	2.0675E-05	2.89042E-05
SPO0107				3.96315E-05	1.29409E-05	3.23522E-06	2.02201E-05	3.23522E-06	7.27925E-06	0.000298997	2.41716E-05	8.8519E-05
SPO0109	1.31803E-05				1.31803E-05							
SPO0110	2.17736E-05	4.89906E-05	4.89906E-05	2.96363E-05	9.67716E-06	2.41929E-06		6.04823E-07				
SPO0111	0.000155135	0.000262179	0.000684147	0.000155135	0.000155135	0.000187714	0.000155135	0.000262179	0.000304065	2.4408E-05	0.000168978	4.81736E-05
SPO0112	5.73368E-05	0.000201575	0.000151405	3.22519E-05	2.23972E-05	0.000129008						
SPO0113	5.4053E-05	3.45939E-05	3.45939E-05	2.16212E-06	1.94591E-05		2.16212E-06					
SPO0115	0.000231981	0.00047343	0.000266304	0.000200024	0.000266304	7.57488E-05	9.58696E-05	1.89372E-05	7.57488E-05		1.18244E-05	1.71025E-05
SPO0116	1.39386E-06	5.57542E-06	1.25447E-05									
SPO0119									3.2885E-06			
SPO0122	2.31233E-05						5.20275E-05			9.76318E-05		
SPO0123	1.08868E-05	5.92726E-05	4.35472E-05	1.93543E-05	5.92726E-05	5.92726E-05	5.92726E-05	1.93543E-05	4.35472E-05	1.00307E-05		5.20275E-05
SPO0124	0.001079614	0.001686898	0.002166726	0.001469475	0.001919315	0.001919315	0.001686898	0.002565959	0.001686898	0.000388051	0.002202818	0.000229347
SPO0125	4.66989E-05	9.15298E-05	7.47182E-06	4.66989E-05	2.98873E-05	1.68116E-05	2.98873E-05	4.66989E-05	2.98873E-05	9.76318E-05	9.76318E-05	3.22519E-05
SPO0128	0.000264744	0.000264744	0.000428841	0.000218796	0.000315067	0.000264744	0.000560119	0.000264744	0.000428841	6.04714E-05	7.8983E-05	8.98912E-05
SPO0129	6.55736E-06	6.55736E-06		4.09835E-05	2.62294E-05	2.62294E-05	1.47541E-05	6.55736E-06	4.09835E-05	9.76318E-05		2.31233E-05
SPO0130	0.000485041	0.000196422	0.000485041	0.000256551	0.000485041	0.000324697	0.001026203	0.001298788	0.001940165	0.000610199	0.000390527	0.000570301
SPO0131	7.62748E-05			0.000109836	4.88159E-05	2.74589E-05	7.62748E-05					
SPO0133	0.001021813	0.00161868	0.001363531	0.000642734	0.000790052	0.000588059	0.000986882	0.001057352	0.00161868	0.002201264	0.009281123	0.000415833
SPO0134	4.67386E-05	7.30291E-05	7.30291E-05		1.16847E-05		2.62905E-05		4.67386E-05			
SPO0135											9.98507E-06	1.40455E-06
SPO0136	7.25787E-06	7.25787E-06	2.90315E-05	2.90315E-05	2.90315E-05	2.01608E-05	5.16115E-05	2.01608E-05	1.29029E-05	0.000359463	5.49179E-05	1.68009E-05
SPO0137	2.14896E-05	5.3724E-06	2.14896E-05	2.92497E-05	2.92497E-05	1.49233E-05	9.55094E-06	1.49233E-05	2.14896E-05	0.000219672	1.81923E-05	5.3724E-06
SPO0138	1.69849E-05	3.01954E-05	1.69849E-05	1.69849E-05	3.01954E-05	1.69849E-05	7.54885E-06		3.01954E-05	1.23411E-06	4.93644E-06	7.54885E-06
SPO0139	0.00094426	0.001575406	0.002124585	0.001475406	0.001575406	0.00275573	0.001895077	0.003936055	0.001475406	0.002953362	0.003514745	0.001102185
SPO0140	4.55278E-05	2.56094E-05	1.13819E-05	1.13819E-05		2.56094E-05		4.55278E-05	2.84549E-06		0.00015255	
SPO0141	4.64913E-05	4.64913E-05	4.64913E-05	4.64913E-05	2.61514E-05		1.16228E-05	2.61514E-05	0.00014238		1.28047E-05	
SPO0142	0.000743007	0.002597012	0.001023917	0.001101167	0.001101167	0.001623659	0.004248762	0.005399089	0.004563382	0.006645065	0.004651868	0.004910541
SPO0144	0.00018234	0.000155367	0.000130551	0.000311813	0.00018234	0.000211472	0.000130551	5.28679E-05	0.000276208	0.000219087	0.001031236	0.000484728
SPO0145	0.000361133	0.000361133	0.000258563	0.000361133	0.000418829	0.000136761	0.000547042	0.000258563	0.000104707	0.00013362	0.000610199	0.00015848
SPO0146	7.76225E-06	6.98602E-05	1.74651E-05	4.8514E-05	4.8514E-05	3.1049E-05	4.8514E-05		0.000157185	0.000219672	9.76318E-05	3.7802E-05
SPO0147	0.003073699	0.002460662	0.001438934	0.007920522	0.005979238	0.001226074	0.004504118	0.00085144	0.002758666	0.003951096	0.00217697	0.00881127
SPO0148	0.000763801	0.001066796	0.000908986	0.00142029	0.000763801	0.001237231	0.000908986	0.001824284	0.000908986	0.000711736	0.000435046	0.000268814
SPO0149	4.22445E-05	7.51014E-05	1.87753E-05	5.74995E-05	4.22445E-05	1.87753E-05	5.74995E-05	1.87753E-05	7.51014E-05	4.93644E-06	1.1107E-05	8.06134E-05
SPO0150	0.004465769	0.006237314	0.004465769	0.005314634	0.004966231	0.004796458	0.005493265	0.007233808	0.003401366	0.022705496	0.026580258	0.004898182
SPO0151	1.50049E-06	6.00196E-06		2.40078E-05	1.50049E-06		1.35044E-05			6.10199E-06		1.16847E-06
SPO0155	0.001844695	0.002794331	0.002971706	0.002622414	0.002882336	0.003536576	0.002707691	0.002707691	0.002374772	0.012911806	0.002715922	0.004987393
SPO0156	1.05006E-06										9.98507E-06	
SPO0157		9.80677E-07					0.000141217	6.27633E-05	0.000165734			
SPO0160		4.67386E-06	4.67386E-06				1.05162E-05	4.67386E-06	4.67386E-06	9.98507E-06		5.56131E-06
SPO0161	4.30729E-05	6.73013E-05	0.000172291	9.69139E-05	0.000172291	0.000131911	9.69139E-05	9.69139E-05	0.000131911	0.000219672	0.000298997	3.35684E-05
SPO0162									3.38999E-06			
SPO0163	2.40224E-05	1.66822E-05	1.06766E-05	6.0056E-06	2.66916E-06	6.0056E-06	6.67289E-07					
SPO0164	3.33341E-06	3.33341E-06		8.33352E-07	7.50017E-06		8.33352E-07				3.66119E-06	6.10199E-06
SPO0165								2.26E-06				
SPO0166	7.25787E-06	3.22572E-06	1.29029E-05	7.25787E-06	3.95151E-05	2.01608E-05	5.16115E-05	1.29029E-05	2.01608E-05	5.49179E-05	9.76318E-05	0.00015255
SPO0167	1.68331E-05	1.68331E-05	3.78744E-05	9.4686E-06	2.63017E-05	3.78744E-05	2.63017E-05	6.73323E-05	1.68331E-05	5.49179E-05	2.4408E-05	
SPO0184						4.34993E-06						
SPO0186	0.000168978	0.00231331	0.000893894	0.000675912	0.000745194	0.000610011	0.00162388	0.001056113	0.000893894	0.000652844	0.003227951	0.005751401
SPO0187	6.21243E-05	6.21243E-05	6.21243E-05	2.23648E-05	2.23648E-05	2.48497E-06	2.23648E-05	9.93989E-06				
SPO0188	1.07215E-05	4.76511E-06		1.90604E-05	1.07215E-05	1.19128E-06		1.19128E-06	4.76511E-06	6.10199E-06	3.23046E-05	1.71618E-06
SPO0189	1.44945E-05		1.6105E-06	1.6105E-06	1.6105E-06	1.6105E-06						
SPO0190								4.09072E-06				
SPO0206			1.66418E-05					1.66418E-05				
SPO0209	3.89489E-06	8.76349E-06	1.55795E-05	3.89489E-06		3.5054E-05		8.76349E-06	8.76349E-06			
SPO0210	0.005208969	0.009576962	0.003741001	0.007543354	0.006129255	0.00263965	0.009817882	0.010061795	0.007124362	0.001974576	0.002042301	0.012911806
SPO0213			1.53832E-06						1.38448E-05			
SPO0215	0.001092893	0.001445351	0.002142071	0.002142071	0.002297808	0.002142071	0.002625676	0.004155727	0.002142071	0.001052705	0.001086728	0.004448349
SPO0216	0.001972585	0.002169726	0.002592171	0.004806489	0.004084811	0.003421807	0.004084811	0.005426075	0.00929497	0.007172049	0.005514762	0.011256913
SPO0218	1.2204E-06							1.2204E-06				3.99403E-05
SPO0219	3.86141E-05	0.000210233	3.86141E-05	0.000107262	6.86474E-05		3.86141E-05	4.29046E-06	0.000154457	2.4408E-05	5.2553E-06	5.49179E-05
SPO0220			3.52038E-06			3.52038E-06		3.52038E-06	1.40815E-05			
SPO0221		3.41105E-06						3.41105E-06	3.41105E-06			
SPO0222	1.48027E-06	5.92107E-06	1.33224E-05	1.33224E-05	1.48027E-06	1.33224E-05	0.000179112	3.70067E-05	9.47371E-05	2.12129E-05	0.00015255	2.94861E-05
SPO0223	9.03255E-05	0.000130069	5.78083E-05	3.25172E-05	3.25172E-05	3.25172E-05	9.03255E-05	3.25172E-05	3.25172E-05	1.901E-05	4.93644E-06	4.93644E-06
SPO0224	0.000405132	6.48211E-05	0.000180059	0.000217871	0.000217871	6.48211E-05	8.82287E-05	8.82287E-05	0.000259284	0.000423796	0.000219087	0.00119599
SPO0226	1.33296E-06	1.33296E-06					1.33296E-06		1.33296E-06	8.98656E-05	2.4408E-05	5.49179E-05
SPO0227	0.00115737	0.000236051	0.000145725	0.001560824	0.002774799	0.000944202	0.000236051	0.000481736	0.000637096	0.001511785	0.02112841	0.008353621
SPO0229	0.000201904	7.26854E-05	0.000654169	0.000516874	0.000395732	0.000654169	0.000977215	0.002067497	0.002616676	3.10622E-05	2.66592E-05	2.17928E-06
SPO0230	0.000294029	0.00011907	0.000243	0.000243	0.000294029	0.00015552	0.000410669	0.000476279	0.00015552	0.000123411	0.000298997	0.000298997
SPO0231	0.000888427	0.000967361	0.001511502	0.001511502	0.001613948	0.001049654	0.00194144	0.001511502	0.00194144	0.003514745	0.003514745	0.004448349
SPO0232	0.00060628	0.000812852	0.001412414	0.000888427	0.000812852	0.001316686	0.002687114	0.002057322	0.010748455	0.012911806	0.006033789	0.007474935
SPO0233		3.48071E-05	1.54698E-05		3.86746E-06		1.54698E-05		1.54698E-05			1.34274E-06
SPO0235	9.80677E-06	2.7241E-05	5.33924E-05	8.82609E-05	5.33924E-05	6.9737E-05	1.08964E-06			0.000494261	0.000494261	0.000878686
SPO0236			1.76019E-06	1.76019E-06		1.76019E-06						
SPO0237										2.8163E-05	6.10199E-06	
SPO0240	9.64935E-05	0.000144145	9.64935E-05	0.000201326	0.000171544	4.2886E-05	0.000119128	0.000171544	2.97819E-05	0.000116991	0.00023328	0.000193354
SPO0241	1.77728E-06	1.59955E-05	1.59955E-05	1.77728E-06		1.59955E-05	7.10911E-06	7.10911E-06	7.10911E-06			3.99403E-05
SPO0247	5.47468E-05	0.000103506	0.000218987	8.55419E-05	5.47468E-05	0.000192469	0.000247216	0.000452517	0.000192469	0.000390527	2.14838E-05	0.000298997
SPO0248	9.34367E-05	0.000154457	6.86474E-05	0.00012204	0.00012204	0.00012204	0.00012204	9.34367E-05	0.000154457	0.000159761	5.79778E-05	4.66374E-05
SPO0249	0.000190687			0.000190687	0.000190687						5.49179E-05	9.76318E-05
SPO0250	6.41897E-05	6.41897E-05	6.41897E-05	0.000144427	0.000144427	8.73694E-05	2.85288E-05	4.45762E-05	0.000114115	0.000639045	6.04714E-05	0.000208022
SPO0251	0.000285196	0.000850874	0.001246848	0.000398331	0.000530323	0.001246848	0.000398331	0.001140784	0.001039433	0.000494261	0.00119599	0.001372947
SPO0252									3.23046E-06	2.4408E-05	2.4408E-05	
SPO0253	0.000617826	0.000617826	0.000488159	0.001008735	0.00084093	0.00068838	0.000322261	0.000154457	0.000322261	0.000315932	0.000241886	0.000454983
SPO0254	0.001087073	0.001989833	0.001658821	0.000737254	0.000737254	0.000846337	0.000541656	0.000541656	0.000737254	0.000604432	0.00062743	0.000710911
SPO0257			2.84058E-05		1.26248E-05	3.1562E-06					3.99403E-05	7.10911E-06
SPO0258	2.69536E-05	0.000136452	4.21149E-05	4.21149E-05	8.25453E-05	4.21149E-05	4.21149E-05	0.000107814	6.06455E-05	1.34274E-06		1.71618E-05
SPO0260					1.05207E-06		1.05207E-06		1.05207E-06			
SPO0262	0.001103877	0.000996249	0.000223535	0.001103877	0.001459878	0.000397396	0.000397396	0.000223535	0.000466388	0.000134274	0.000156354	0.000131383
SPO0264	0.0005467	0.0005467	0.000655791	0.000714057	0.00097191	0.000774801	0.000714057	0.001042572	0.001042572	0.000123411	0.000154654	0.001208194
SPO0266	2.34692E-06	9.38767E-06		9.38767E-06			2.34692E-06		2.11223E-05	2.4408E-05	3.89489E-06	8.71713E-06
SPO0267	0.00021607	0.00012154	0.000150049	0.000294096	0.000294096	9.60313E-05	0.000253583	5.40176E-05	0.000486158	0.001198208	0.000177728	0.000149327
SPO0268				3.58647E-05	2.01739E-05							
SPO0269	2.69205E-06	1.07682E-05								5.66164E-06	3.66119E-06	2.4408E-05
SPO0270	2.43478E-05	0.00017314	9.73913E-05	4.3285E-05	9.73913E-05	9.73913E-05	0.00021913	0.00013256	0.000389565	0.000639045	0.000639045	0.000494261
SPO0271	0.006214238	0.006487359	0.002643107	0.004936736	0.004936736	0.00518049	0.004698857	0.004698857	0.013579696	0.011056263	0.007908176	0.010257441
SPO0272	0.000359079	7.95191E-05	7.95191E-05	0.000279559	0.000279559	4.96994E-06	0.000178918	7.95191E-05	4.47295E-05	0.000149327	0.000108762	0.000134274
SPO0273	0.000553006	0.000323384	0.000122465	0.000690779	0.000619979	0.000375049	0.00101225	0.000430541	0.000553006	0.000878686	0.000516874	0.001957074
SPO0277	2.10212E-05	2.10212E-05	2.10212E-05	4.72977E-05	4.72977E-05	3.28456E-05	3.28456E-05	1.18244E-05	2.10212E-05	2.4408E-05	9.76318E-05	6.5794E-05
SPO0278	3.26649E-05	1.8374E-05		3.26649E-05	1.8374E-05	8.16623E-06	7.34961E-05	3.26649E-05	0.000204156	3.35684E-05	0.000219672	1.97458E-05
SPO0281		1.39918E-05	3.14816E-05			3.14816E-05	5.59673E-05					
SPO0283										2.4408E-05		
SPO0284	0.000865373	0.001568168	0.001479839	0.001659058	0.001152124	0.001152124	0.001394069	0.001659058	0.001659058	0.003235163	0.001227215	0.002690977
SPO0286	7.8905E-05	0.000154654	7.8905E-05	0.000201997	0.000255652	7.8905E-05	7.8905E-05	5.04992E-05	5.04992E-05	1.42029E-05	5.49179E-05	9.76318E-05
SPO0287	0.000452057	0.000298428	0.000143034	0.00051033	0.000213668	0.000213668	0.000346106	0.000143034	0.000113014	0.001031236	0.000218379	0.001031236
SPO0288	0.000103103	7.57488E-05	7.57488E-05	0.000134665	0.000103103	0.000103103	7.57488E-05	7.57488E-05	0.000134665	4.83385E-05	0.000219672	0.00015255
SPO0289	0.00017662	0.000275969	0.000333923	6.89923E-05	0.000135225	0.000223535	0.000223535	0.000135225	0.000223535	0.000123411	3.35684E-05	0.000489268
SPO0291	0.000149499	0.00024713	0.000515618	0.00024713	0.00036917	0.000305099	0.00036917	0.000149499	0.00024713	0.000298997	4.60849E-05	9.0276E-05
SPO0292	1.81172E-05	2.83082E-05	1.01909E-05	2.83082E-05	1.81172E-05	1.01909E-05	1.01909E-05	1.13233E-06	1.01909E-05	6.10199E-06	4.4428E-05	9.76318E-05
SPO0293	1.74496E-05	1.21178E-05	1.21178E-05	3.10216E-05	3.10216E-05	2.37509E-05	4.36241E-06	7.75539E-06	1.21178E-05	1.1107E-05	1.20846E-05	6.10199E-06
SPO0294			3.95093E-06									
SPO0295		8.07616E-06	1.81714E-05	7.26854E-05	9.8933E-05	9.8933E-05	1.81714E-05	8.07616E-06	5.0476E-05			
SPO0296	4.52931E-05		1.13233E-05	1.13233E-05	1.13233E-05	1.13233E-05	2.54774E-05			8.98656E-05	2.4408E-05	1.34274E-06
SPO0297	1.73791E-06	4.34477E-05	2.78065E-05	0.000111226	0.000111226	4.34477E-05	4.34477E-05	4.34477E-05	2.78065E-05	0.000219672	0.000359463	6.5794E-05
SPO0298	1.54971E-05	6.19884E-05	6.19884E-05	4.74599E-05	3.48685E-05	6.19884E-05	7.84541E-05	7.84541E-05	4.74599E-05	9.76318E-05	3.75507E-05	2.14838E-05
SPO0300	0.00017821	0.000294593	9.09237E-05	0.00013093	9.09237E-05	3.27325E-05	0.00017821	9.09237E-05	0.00013093	0.000390527	9.66864E-05	7.88714E-05
SPO0301	4.3827E-05	2.23607E-05	2.23607E-05	3.57771E-06	1.43109E-05			8.04985E-06	1.43109E-05	5.49179E-05	0.00015255	0.000219672
SPO0304	0.000685804	0.000267892	0.000602757	0.000525069	0.000774208	0.000171451	0.000452738	0.000525069	0.001071569	0.000302116	0.001031236	0.000610199
SPO0306	0.000119957	0.000119957	0.000151821	9.18422E-05	4.68583E-05	0.000187433	0.000119957	0.000119957	6.74759E-05	0.000610199	0.000219672	6.5794E-05
SPO0307		2.60274E-06	6.50686E-05	4.16439E-05	2.34247E-05		1.0411E-05	1.0411E-05	2.60274E-06			
SPO0308	1.34768E-05	5.39071E-05	5.39071E-05	3.03228E-05	3.03228E-05	3.3692E-06	0.000121291	3.03228E-05	8.42299E-05	5.49179E-05		2.4408E-05
